Haastattelussa 1;Haastattelussa 2;Haastattelussa 3;Haastattelussa 4;Haastattelussa 5;Category;Subcategory;Code;Se-;gm-;en-;ts ;;;;;;;;;;;;;;;;;;;;;
0;0;0;3;1;ToimintaympÌ_ristÌ¦;Muutos;ViljelijÌ_n tyÌ¦nkuva;4.4;4.5;4.20;5.2;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;1;ToimintaympÌ_ristÌ¦;Muutos;VÌ_estÌ¦nkasvu;1.48;5.14;;;;;;;;;;;;;;;;;;;;;;;
0;0;2;0;1;ToimintaympÌ_ristÌ¦;Ohjelmistotuotanto;Kolmannen osapuolen ohjelmistokehitys;3.30;3.31;5.9;;;;;;;;;;;;;;;;;;;;;;
0;0;2;0;0;ToimintaympÌ_ristÌ¦;Ohjelmistotuotanto;Ohjelmistojen tekijÌ_noikeudet;3.30;3.31;;;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;ToimintaympÌ_ristÌ¦;Ohjelmistotuotanto;OhjelmistopÌ_ivitykset;3.31;;;;;;;;;;;;;;;;;;;;;;;;
0;0;2;0;0;ToimintaympÌ_ristÌ¦;Ohjelmistotuotanto;Ohjelmistotuotannon ala;3.31;3.33;;;;;;;;;;;;;;;;;;;;;;;
1;0;2;0;0;ToimintaympÌ_ristÌ¦;SÌ_Ì_dÌ¦kset;EU-maataloustuki;1.33;3.40;3.43;;;;;;;;;;;;;;;;;;;;;;
0;0;0;1;0;ToimintaympÌ_ristÌ¦;SÌ_Ì_dÌ¦kset;Luomusertifikaatti;4.14;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;1;0;ToimintaympÌ_ristÌ¦;SÌ_Ì_dÌ¦kset;Sertifikaatit;4.14;;;;;;;;;;;;;;;;;;;;;;;;
0;0;2;0;0;ToimintaympÌ_ristÌ¦;SÌ_Ì_dÌ¦kset;Tuotevastuu;3.30;3.32;;;;;;;;;;;;;;;;;;;;;;;
4;1;2;0;0;ToimintaympÌ_ristÌ¦;Tuotantoketju;Liiketoiminnan ekosysteemi;1.14;1.15;1.18;1.27;2.44;3.18;3.19;;;;;;;;;;;;;;;;;;
2;0;0;0;0;ToimintaympÌ_ristÌ¦;Tuotantoketju;Toimijoiden verkostomainen toiminta;1.13;1.30;;;;;;;;;;;;;;;;;;;;;;;
2;1;3;0;1;ToimintaympÌ_ristÌ¦;Tuotantoketju;Tuotantoketju yleensÌ_;1.13;1.42;2.32;3.19;3.39;3.41;5.19;;;;;;;;;;;;;;;;;;
5;1;2;2;2;ToimintaympÌ_ristÌ¦;Tuotantoketju;Tuotantoketjun data;1.13;1.42;1.43;1.44;1.45;2.32;3.39;3.41;4.13;4.14;5.11;5.14;;;;;;;;;;;;;
0;0;2;1;0;ToimintaympÌ_ristÌ¦;Tuotantoketju;Tuotantoketjun valvonta;3.39;3.41;4.14;;;;;;;;;;;;;;;;;;;;;;
0;0;0;2;0;ToimintaympÌ_ristÌ¦;YhtiÌ¦;Agrineuvos;4.5;4.7;;;;;;;;;;;;;;;;;;;;;;;
0;1;0;0;0;X;Ratkaisu/tuote;365FarmNet;2.7;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;4;X;Ratkaisu/tuote;Agrirouter;5.5;5.7;5.8;5.9;;;;;;;;;;;;;;;;;;;;;
0;0;0;1;0;X;Ratkaisu/tuote;Agrismart (Agrineuvos);4.5;;;;;;;;;;;;;;;;;;;;;;;;
3;0;0;0;0;X;Ratkaisu/tuote;Farmersbusinessnetwork.com;1.16;1.26;1.27;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;0;X;Ratkaisu/tuote;Farmidiili;1.27;;;;;;;;;;;;;;;;;;;;;;;;
3;0;0;0;0;X;Ratkaisu/tuote;Farmobile.com;1.16;1.26;1.27;;;;;;;;;;;;;;;;;;;;;;
0;1;0;0;0;X;Ratkaisu/tuote;MyYara -viljelijÌ_portaaliohjelmisto;2.6;;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;0;X;Ratkaisu/tuote;VTT Owela;1.42;;;;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;X;Ratkaisu/tuote;Valtra Smart;3.21;;;;;;;;;;;;;;;;;;;;;;;;
0;6;1;0;0;X;Ratkaisu/tuote;Yara N-sensor;2.14;2.16;2.19;2.20;2.22;2.34;3.11;;;;;;;;;;;;;;;;;;
